length,wall_time_task
14.0,4.128922469086117
15.0,4.1542745503512295
16.0,4.231974419425516
17.0,4.326634036170112
18.0,4.337408767027013
19.0,4.411189581218519
20.0,4.663551316541784
21.0,4.678638117653983
22.0,4.6935890383190575
23.0,4.835738678773244
24.0,4.790919870138168
25.0,5.09402951827416
26.0,5.011335882273587
27.0,5.093511654780461
28.0,5.308479053633554
29.0,5.449591215919046
30.0,5.521557029924895
31.0,5.708968734741211
32.0,5.5168651682989935
33.0,5.834080572128296
34.0,5.820435047149658
35.0,6.048840954190209
36.0,6.04809984706697
37.0,6.234406934064977
38.0,6.247842414038522
39.0,6.424890804290771
40.0,6.619138584417455
41.0,6.847574460506439
42.0,6.7939131032852895
43.0,7.060025621862972
44.0,7.137266190846761
45.0,7.197638499736786
46.0,7.319793371927171
47.0,7.593519574119931
48.0,7.441726283023232
49.0,7.606265750424615
50.0,7.773192915049466
51.0,7.841703819191975
52.0,7.982349743445714
53.0,8.004354379897894
54.0,8.022876101732255
55.0,8.161987448993482
56.0,8.121663521571332
57.0,8.28014346110968
58.0,8.480186120573297
59.0,8.743751633657167
60.0,8.64347703890367
61.0,8.649665806351639
62.0,8.638221861480119
63.0,8.83919981320699
64.0,8.882142361841703
65.0,8.916738575413113
66.0,9.221780782938003
67.0,9.212787133582095
68.0,9.305033007333446
69.0,9.262908625602723
70.0,9.359206419312551
71.0,9.506349081216856
72.0,9.549687694530098
73.0,9.62796611600108
74.0,9.718286002619882
75.0,9.69883511517499
76.0,9.874028643896413
77.0,9.90649615128835
78.0,10.07497270266215
79.0,10.173631250858307
80.0,10.240540840686895
81.0,10.360580643521079
82.0,10.538962957021353
83.0,10.544612428288401
84.0,10.614031003316244
85.0,10.640134745749874
86.0,10.705717576177497
87.0,10.91068359474083
88.0,10.856726462426392
89.0,10.78629295155406
90.0,10.876553422365433
91.0,11.11342506167255
92.0,11.162098824977875
93.0,11.349777244119084
94.0,11.436713282452073
95.0,11.428764349884457
96.0,11.546056048075359
97.0,11.60650305983461
98.0,11.732122732611263
99.0,11.904809177695931
100.0,12.367622184030937
101.0,12.112015337779605
102.0,12.126559003951057
103.0,12.192382151686301
104.0,12.574179481486885
105.0,12.350440569683514
106.0,12.394986835951658
107.0,12.699586920511155
108.0,12.542627517666135
109.0,12.581468068985712
110.0,12.66167193326083
111.0,12.66709830029176
112.0,12.858141115188598
113.0,12.942817982362241
114.0,12.944795011455177
115.0,13.038670285803374
116.0,13.043864817232699
117.0,13.2736786344777
118.0,13.344957641835483
119.0,13.39957832467967
120.0,13.491177204087025
121.0,13.528548697630564
122.0,13.555914404195383
123.0,13.63717016957023
124.0,13.777663557469344
125.0,14.09275616260997
126.0,14.151267927268457
127.0,14.248691691292656
128.0,14.471686833727675
129.0,14.32275939960869
130.0,14.618505411541339
131.0,14.50773704311122
132.0,14.519510776996613
133.0,14.677076404159134
134.0,14.734178658535606
135.0,14.63652243176285
136.0,14.789164208817756
137.0,14.953808054481584
138.0,14.907834044624778
139.0,15.099117492039998
140.0,15.085825354782576
141.0,15.1377386464013
142.0,15.034286749990363
143.0,15.182435909907023
144.0,15.201191863417625
145.0,15.072573462654562
146.0,15.143078173049773
147.0,15.238006487488747
148.0,15.289116263389587
149.0,15.504844502647325
150.0,15.364909446367653
151.0,15.286791739925262
152.0,15.399853061921526
153.0,15.706896814067711
154.0,15.663214770523277
155.0,15.722134033838907
156.0,15.608982920646667
157.0,15.612122083447643
158.0,15.539855839192182
159.0,15.724905472690777
160.0,15.90451761255873
161.0,15.721392304339307
162.0,15.86970800679663
163.0,15.973752007072354
164.0,15.98498540520668
165.0,16.006329302935256
166.0,16.192496932688215
167.0,15.993864530608768
168.0,16.256691342176392
169.0,16.36374974572981
170.0,16.398734907771267
171.0,16.553591329224254
172.0,16.464694035358917
173.0,17.056104348687565
174.0,16.508923302414598
175.0,16.636034436847854
176.0,16.91505756880108
177.0,16.95758543163538
178.0,17.91935247520231
179.0,17.49043517742517
180.0,16.853401072647262
181.0,17.063242528749548
182.0,17.25748532158988
183.0,17.74993427276611
184.0,18.175759476351452
185.0,17.892417074504653
186.0,17.562331391646797
187.0,17.693014408860886
188.0,17.351975126398933
189.0,17.81321686108907
190.0,17.445415823647146
191.0,17.69777047905055
192.0,17.531149224920586
193.0,18.028167014269485
194.0,17.478521133604502
195.0,17.38554544180212
196.0,17.417567350332018
197.0,17.449742621686084
198.0,17.875439566060116
199.0,17.925675759444367
200.0,18.47728238105774
