model,task,length,wall_time_batch,batch_size,wall_time_task
OmegaFold,Structure Prediction,173.0,41112.752588033676,850.0,48.36794422121609
OmegaFold,Structure Prediction,174.0,39979.29588532448,825.0,48.459752588272096
OmegaFold,Structure Prediction,175.0,47644.57617688179,854.0,55.789901846465796
OmegaFold,Structure Prediction,176.0,48587.40116930008,877.0,55.40182573466372
OmegaFold,Structure Prediction,177.0,53892.406757354736,901.0,59.813991961547984
OmegaFold,Structure Prediction,178.0,55357.70750069618,955.0,57.96618586460333
OmegaFold,Structure Prediction,179.0,51345.03884649277,897.0,57.240845982712116
OmegaFold,Structure Prediction,180.0,50493.0047287941,834.0,60.5431711376428
OmegaFold,Structure Prediction,181.0,52839.06454253197,889.0,59.43651804559276
OmegaFold,Structure Prediction,182.0,51162.82891225815,848.0,60.33352466068178
OmegaFold,Structure Prediction,183.0,44971.244369745255,734.0,61.268725299380456
OmegaFold,Structure Prediction,184.0,53235.87434005737,834.0,63.83198362117191
OmegaFold,Structure Prediction,185.0,60440.023339509964,897.0,67.38018209532883
OmegaFold,Structure Prediction,186.0,64138.67888522148,995.0,64.4609838042427
OmegaFold,Structure Prediction,187.0,66056.14762926102,1047.0,63.0908764367345
OmegaFold,Structure Prediction,188.0,43080.15490889549,691.0,62.34465254543487
OmegaFold,Structure Prediction,189.0,59711.59182357788,891.0,67.01637690637249
OmegaFold,Structure Prediction,190.0,53195.02150630951,808.0,65.83542265632364
OmegaFold,Structure Prediction,191.0,55602.40725851059,849.0,65.49164576974157
OmegaFold,Structure Prediction,192.0,52120.21387767792,797.0,65.39550047387442
OmegaFold,Structure Prediction,193.0,62232.82700371742,906.0,68.68965452948943
OmegaFold,Structure Prediction,194.0,67665.94316887856,917.0,73.79055961709766
OmegaFold,Structure Prediction,195.0,48019.92120432854,665.0,72.21040782605795
OmegaFold,Structure Prediction,196.0,67044.58805990219,916.0,73.19278172478406
OmegaFold,Structure Prediction,197.0,54601.482431173325,746.0,73.19233569862376
OmegaFold,Structure Prediction,198.0,53672.75998234749,823.0,65.21599025801639
OmegaFold,Structure Prediction,199.0,48596.16704726219,681.0,71.36001034840262
OmegaFold,Structure Prediction,200.0,63811.22870731354,876.0,72.84386838734422
