model,task,input_file_path,output_dir_path,Timestamp,gpu,batch_id,batch_size,wall_time_batch,wall_time_task
omegafold,Structure Prediction,/content/drive/MyDrive/Generative_Models/utilities/fold_inputs/all_len76.fa,/content/drive/MyDrive/Generative_Models/utilities/omegafold/all_len76,2024-06-12 05:54:30.633748,T4 GPU,5173c41f-e8a6-417c-855a-0748b6c46a2d,976,13894.470334291458 Seconds,14.236137637593707 Seconds (inferred)
omegafold,Structure Prediction,/content/drive/MyDrive/Generative_Models/utilities/fold_inputs/all_len77.fa,/content/drive/MyDrive/Generative_Models/utilities/omegafold/all_len77,2024-06-12 09:46:06.587384,T4 GPU,616bd2cb-19e3-4545-ac18-32a36f3c5403,1038,14793.276382923126 Seconds,14.251711351563705 Seconds (inferred)
omegafold,Structure Prediction,/content/drive/MyDrive/Generative_Models/utilities/fold_inputs/all_len78.fa,/content/drive/MyDrive/Generative_Models/utilities/omegafold/all_len78,2024-06-12 13:52:40.212503,T4 GPU,00364e0e-3f02-42ea-ac9c-2483c5b7a7d8,865,12478.566638708115 Seconds,14.42608859966256 Seconds (inferred)
omegafold,Structure Prediction,/content/drive/MyDrive/Generative_Models/utilities/fold_inputs/all_len79.fa,/content/drive/MyDrive/Generative_Models/utilities/omegafold/all_len79,2024-06-12 17:20:39.112990,T4 GPU,709e8f0e-e8c3-40b4-b0a2-e21069969803,1020,14920.108805656433 Seconds,14.627557652604347 Seconds (inferred)
omegafold,Structure Prediction,/content/drive/MyDrive/Generative_Models/utilities/fold_inputs/all_len80.fa,/content/drive/MyDrive/Generative_Models/utilities/omegafold/all_len80,2024-06-12 21:29:19.562546,T4 GPU,29a032bc-a720-4154-a127-5004818cd9e9,911,13426.771933078766 Seconds,14.738498279998645 Seconds (inferred)
omegafold,Structure Prediction,/content/drive/MyDrive/Generative_Models/utilities/fold_inputs/all_len81.fa,/content/drive/MyDrive/Generative_Models/utilities/omegafold/all_len81,2024-06-13 01:13:06.590415,T4 GPU,88908618-b6e7-4684-82a9-a7ea80a9995e,862,13772.30928325653 Seconds,15.977156941132867 Seconds (inferred)
omegafold,Structure Prediction,/content/drive/MyDrive/Generative_Models/utilities/fold_inputs/all_len82.fa,/content/drive/MyDrive/Generative_Models/utilities/omegafold/all_len82,2024-06-13 08:55:37.100195,T4 GPU,2c94b0c3-d476-4d34-a626-146649ee9db6,820,12356.479890584946 Seconds,15.068877915347494 Seconds (inferred)
omegafold,Structure Prediction,/content/drive/MyDrive/Generative_Models/utilities/fold_inputs/all_len83.fa,/content/drive/MyDrive/Generative_Models/utilities/omegafold/all_len83,2024-06-13 12:21:35.615610,T4 GPU,9781dad9-b65c-4c45-bf6c-fa2983402cda,880,13351.524451255798 Seconds,15.172186876427043 Seconds (inferred)
omegafold,Structure Prediction,/content/drive/MyDrive/Generative_Models/utilities/fold_inputs/all_len84.fa,/content/drive/MyDrive/Generative_Models/utilities/omegafold/all_len84,2024-06-13 16:04:07.597338,T4 GPU,e6c68a36-a9b1-4921-9996-cf672201feda,824,12683.597783088684 Seconds,15.392715756175587 Seconds (inferred)
omegafold,Structure Prediction,/content/drive/MyDrive/Generative_Models/utilities/fold_inputs/all_len85.fa,/content/drive/MyDrive/Generative_Models/utilities/omegafold/all_len85,2024-06-13 19:35:31.752475,T4 GPU,c2e858d8-e2ee-4a94-b240-b6652feb7733,780,11590.930260419846 Seconds,14.860167000538263 Seconds (inferred)
omegafold,Structure Prediction,/content/drive/MyDrive/Generative_Models/utilities/fold_inputs/all_len86.fa,/content/drive/MyDrive/Generative_Models/utilities/omegafold/all_len86,2024-06-13 22:48:43.233645,T4 GPU,5b469608-6c96-4ed6-8039-b0d786f09ba7,1036,15540.150665998459 Seconds,15.000145430500442 Seconds (inferred)
omegafold,Structure Prediction,/content/drive/MyDrive/Generative_Models/utilities/fold_inputs/all_len87.fa,/content/drive/MyDrive/Generative_Models/utilities/omegafold/all_len87,2024-06-14 03:07:43.922414,T4 GPU,d779c67a-2dae-4592-979d-558fa1e5d9d6,858,13056.672983169556 Seconds,15.217567579451696 Seconds (inferred)
omegafold,Structure Prediction,/content/drive/MyDrive/Generative_Models/utilities/fold_inputs/all_len88.fa,/content/drive/MyDrive/Generative_Models/utilities/omegafold/all_len88,2024-06-14 10:28:12.775155,T4 GPU,c5a56250-c323-4704-b85c-f98333dd6660,996,15652.244331121445 Seconds,15.715104750121933 Seconds (inferred)
omegafold,Structure Prediction,/content/drive/MyDrive/Generative_Models/utilities/fold_inputs/all_len89.fa,/content/drive/MyDrive/Generative_Models/utilities/omegafold/all_len89,2024-06-14 14:49:05.875720,T4 GPU,93eb6b32-4662-4f11-9e7c-238a6d03151f,708,11902.137201070786 Seconds,16.81092825009998 Seconds (inferred)
omegafold,Structure Prediction,/content/drive/MyDrive/Generative_Models/utilities/fold_inputs/all_len90.fa,/content/drive/MyDrive/Generative_Models/utilities/omegafold/all_len90,2024-06-14 18:07:28.383510,T4 GPU,320dcc55-aecf-4df5-8788-57ac900fb1a2,850,14502.048124790192 Seconds,17.061233087988462 Seconds (inferred)
