batch_id,batch_size,Timestamp,model,task,conditions,gpu,wall_time_batch,wall_time_task,output_file_name,entity_id
28c0eb02-bf6d-4d75-9ecf-37ae9f60759a,5,2024-01-18 07:42:46.887618,foldingdiff,backbone_pdb_generation,length = 701,T4 GPU,43.332550048828125 Seconds,8.666510009765625 Seconds (inferred),foldingdiff_len701_ef56cf46-7290-4aed-b87b-504bd4a1374e.pdb,ef56cf46-7290-4aed-b87b-504bd4a1374e
28c0eb02-bf6d-4d75-9ecf-37ae9f60759a,5,2024-01-18 07:42:46.887618,foldingdiff,backbone_pdb_generation,length = 701,T4 GPU,43.332550048828125 Seconds,8.666510009765625 Seconds (inferred),foldingdiff_len701_a0723287-29ee-4661-a503-9bd5a7db1a5a.pdb,a0723287-29ee-4661-a503-9bd5a7db1a5a
d437dad4-bf4a-4a0f-b0b5-5d9fe00dfb24,3,2024-01-18 07:43:30.556618,foldingdiff,backbone_pdb_generation,length = 702,T4 GPU,41.26748204231262 Seconds,13.75582734743754 Seconds (inferred),foldingdiff_len702_691b65b2-5151-407d-a949-e5d221df07de.pdb,691b65b2-5151-407d-a949-e5d221df07de
d437dad4-bf4a-4a0f-b0b5-5d9fe00dfb24,3,2024-01-18 07:43:30.556618,foldingdiff,backbone_pdb_generation,length = 702,T4 GPU,41.26748204231262 Seconds,13.75582734743754 Seconds (inferred),foldingdiff_len702_1a9d0dc3-6551-447c-8856-16c3fba643a5.pdb,1a9d0dc3-6551-447c-8856-16c3fba643a5
d437dad4-bf4a-4a0f-b0b5-5d9fe00dfb24,3,2024-01-18 07:43:30.556618,foldingdiff,backbone_pdb_generation,length = 702,T4 GPU,41.26748204231262 Seconds,13.75582734743754 Seconds (inferred),foldingdiff_len702_bfc79e00-f512-4569-b01b-aa0c91b822fa.pdb,bfc79e00-f512-4569-b01b-aa0c91b822fa
70d48c71-df52-46c3-b8aa-9e1f6de78a4c,4,2024-01-18 07:44:12.051348,foldingdiff,backbone_pdb_generation,length = 703,T4 GPU,44.49226975440979 Seconds,11.123067438602448 Seconds (inferred),foldingdiff_len703_90b6033c-a95c-4a4a-91c3-60d7ad671455.pdb,90b6033c-a95c-4a4a-91c3-60d7ad671455
70d48c71-df52-46c3-b8aa-9e1f6de78a4c,4,2024-01-18 07:44:12.051348,foldingdiff,backbone_pdb_generation,length = 703,T4 GPU,44.49226975440979 Seconds,11.123067438602448 Seconds (inferred),foldingdiff_len703_8d9087c2-3260-431a-9402-5a7b7c0f5080.pdb,8d9087c2-3260-431a-9402-5a7b7c0f5080
70d48c71-df52-46c3-b8aa-9e1f6de78a4c,4,2024-01-18 07:44:12.051348,foldingdiff,backbone_pdb_generation,length = 703,T4 GPU,44.49226975440979 Seconds,11.123067438602448 Seconds (inferred),foldingdiff_len703_2e4008ea-7a1b-43f4-a55f-8924103b399d.pdb,2e4008ea-7a1b-43f4-a55f-8924103b399d
70d48c71-df52-46c3-b8aa-9e1f6de78a4c,4,2024-01-18 07:44:12.051348,foldingdiff,backbone_pdb_generation,length = 703,T4 GPU,44.49226975440979 Seconds,11.123067438602448 Seconds (inferred),foldingdiff_len703_375893a5-66d6-45bf-ba33-65751a762ca6.pdb,375893a5-66d6-45bf-ba33-65751a762ca6
a0695b34-0dc1-4238-89ce-c67f37d78e8e,4,2024-01-18 07:44:56.777908,foldingdiff,backbone_pdb_generation,length = 704,T4 GPU,42.86097717285156 Seconds,10.71524429321289 Seconds (inferred),foldingdiff_len704_89572ad0-90ab-440d-a20f-259dbfba9e0b.pdb,89572ad0-90ab-440d-a20f-259dbfba9e0b
