entity_id,batch_id,batch_size,Timestamp,model,task,conditions,wall_time_batch,gpu,wall_time_task,output_file_name
ee4d6ce0-e5d1-4b49-8eba-0a7fd2f80f3f,b679df98-10b9-4935-8648-0d10d8859a7f,6,2024-02-15 23:55:57.622682,RFdiffusion_150it,backbone_pdb_generation,length = 14,601.0497004985809 Seconds,T4 GPU,100.17495008309682 Seconds (inferred),rfdiffusion_len14_ee4d6ce0-e5d1-4b49-8eba-0a7fd2f80f3f.pdb
309f2478-47c0-4abc-918d-023fa45c3b04,b679df98-10b9-4935-8648-0d10d8859a7f,6,2024-02-15 23:55:57.622682,RFdiffusion_150it,backbone_pdb_generation,length = 14,601.0497004985809 Seconds,T4 GPU,100.17495008309682 Seconds (inferred),rfdiffusion_len14_309f2478-47c0-4abc-918d-023fa45c3b04.pdb
f7aec981-bc1d-4bcf-9aea-3a2ed35c9f65,b679df98-10b9-4935-8648-0d10d8859a7f,6,2024-02-15 23:55:57.622682,RFdiffusion_150it,backbone_pdb_generation,length = 14,601.0497004985809 Seconds,T4 GPU,100.17495008309682 Seconds (inferred),rfdiffusion_len14_f7aec981-bc1d-4bcf-9aea-3a2ed35c9f65.pdb
6b827838-fe8b-44a2-b781-00ad0a51b61d,b679df98-10b9-4935-8648-0d10d8859a7f,6,2024-02-15 23:55:57.622682,RFdiffusion_150it,backbone_pdb_generation,length = 14,601.0497004985809 Seconds,T4 GPU,100.17495008309682 Seconds (inferred),rfdiffusion_len14_6b827838-fe8b-44a2-b781-00ad0a51b61d.pdb
90b57768-59d0-4f06-b052-d37a6fbc8fd1,b679df98-10b9-4935-8648-0d10d8859a7f,6,2024-02-15 23:55:57.622682,RFdiffusion_150it,backbone_pdb_generation,length = 14,601.0497004985809 Seconds,T4 GPU,100.17495008309682 Seconds (inferred),rfdiffusion_len14_90b57768-59d0-4f06-b052-d37a6fbc8fd1.pdb
5a70c8f7-d78f-41b1-9b3b-91c167c5b6eb,b679df98-10b9-4935-8648-0d10d8859a7f,6,2024-02-15 23:55:57.622682,RFdiffusion_150it,backbone_pdb_generation,length = 14,601.0497004985809 Seconds,T4 GPU,100.17495008309682 Seconds (inferred),rfdiffusion_len14_5a70c8f7-d78f-41b1-9b3b-91c167c5b6eb.pdb
b207d086-6205-4b9a-9b8a-f9870dd47e56,1f80ac6b-256c-4b9d-908f-0713b00a37b6,26,2024-02-16 00:07:43.695837,RFdiffusion_150it,backbone_pdb_generation,length = 150,4513.803040504456 Seconds,T4 GPU,173.60780925017136 Seconds (inferred),rfdiffusion_len150_b207d086-6205-4b9a-9b8a-f9870dd47e56.pdb
3c44cc7b-80ba-4bda-a3ba-f310098e9a7f,1f80ac6b-256c-4b9d-908f-0713b00a37b6,26,2024-02-16 00:07:43.695837,RFdiffusion_150it,backbone_pdb_generation,length = 150,4513.803040504456 Seconds,T4 GPU,173.60780925017136 Seconds (inferred),rfdiffusion_len150_3c44cc7b-80ba-4bda-a3ba-f310098e9a7f.pdb
a1ff5316-0440-4e36-a936-c95f59e89db1,1f80ac6b-256c-4b9d-908f-0713b00a37b6,26,2024-02-16 00:07:43.695837,RFdiffusion_150it,backbone_pdb_generation,length = 150,4513.803040504456 Seconds,T4 GPU,173.60780925017136 Seconds (inferred),rfdiffusion_len150_a1ff5316-0440-4e36-a936-c95f59e89db1.pdb
d10244a9-7982-407a-b42f-5596f1bcfcc0,1f80ac6b-256c-4b9d-908f-0713b00a37b6,26,2024-02-16 00:07:43.695837,RFdiffusion_150it,backbone_pdb_generation,length = 150,4513.803040504456 Seconds,T4 GPU,173.60780925017136 Seconds (inferred),rfdiffusion_len150_d10244a9-7982-407a-b42f-5596f1bcfcc0.pdb
bb9d3588-6bc0-463e-b5ba-525dca597991,1f80ac6b-256c-4b9d-908f-0713b00a37b6,26,2024-02-16 00:07:43.695837,RFdiffusion_150it,backbone_pdb_generation,length = 150,4513.803040504456 Seconds,T4 GPU,173.60780925017136 Seconds (inferred),rfdiffusion_len150_bb9d3588-6bc0-463e-b5ba-525dca597991.pdb
55fd2133-f6a6-4d44-a7c6-66e87cb17ad7,1f80ac6b-256c-4b9d-908f-0713b00a37b6,26,2024-02-16 00:07:43.695837,RFdiffusion_150it,backbone_pdb_generation,length = 150,4513.803040504456 Seconds,T4 GPU,173.60780925017136 Seconds (inferred),rfdiffusion_len150_55fd2133-f6a6-4d44-a7c6-66e87cb17ad7.pdb
a4897d92-730e-42a4-a490-8aea82c6a5b3,1f80ac6b-256c-4b9d-908f-0713b00a37b6,26,2024-02-16 00:07:43.695837,RFdiffusion_150it,backbone_pdb_generation,length = 150,4513.803040504456 Seconds,T4 GPU,173.60780925017136 Seconds (inferred),rfdiffusion_len150_a4897d92-730e-42a4-a490-8aea82c6a5b3.pdb
