batch_id,batch_size,Timestamp,model,task,conditions,gpu,wall_time_batch,wall_time_task,entity_id,output_file_name
f5f9e7e9-48be-403b-9931-61c4171eb634,1,2024-06-21 00:15:45.422551,chroma,all_atom_pdb_generation,"tev (monomer) scaffolding [selection_string = ""resid 28-33 or resid 47-51 or resid 140-152 or resid 168-179 or resid 212-221""]",T4 GPU,111.07013773918152 Seconds,111.07013773918152 Seconds (inferred),c9b6909f-e146-4b2f-9976-defcb1eddef5,chroma_tev_mono_c9b6909f-e146-4b2f-9976-defcb1eddef5.cif
f5f9e7e9-48be-403b-9931-61c4171eb634,1,2024-06-21 00:15:45.422551,chroma,all_atom_pdb_generation,"tev (monomer) scaffolding [selection_string = ""resid 28-33 or resid 47-51 or resid 140-152 or resid 168-179 or resid 212-221""]",T4 GPU,108.81967425346375 Seconds,108.81967425346375 Seconds (inferred),c10123be-82ea-45e5-97b3-8d82eac1383a,chroma_tev_mono_c10123be-82ea-45e5-97b3-8d82eac1383a.cif
f5f9e7e9-48be-403b-9931-61c4171eb634,1,2024-06-21 00:15:45.422551,chroma,all_atom_pdb_generation,"tev (monomer) scaffolding [selection_string = ""resid 28-33 or resid 47-51 or resid 140-152 or resid 168-179 or resid 212-221""]",T4 GPU,110.55976605415344 Seconds,110.55976605415344 Seconds (inferred),f15f0485-8144-4677-8253-f5afb0e2b3e5,chroma_tev_mono_f15f0485-8144-4677-8253-f5afb0e2b3e5.cif
f5f9e7e9-48be-403b-9931-61c4171eb634,1,2024-06-21 00:15:45.422551,chroma,all_atom_pdb_generation,"tev (monomer) scaffolding [selection_string = ""resid 28-33 or resid 47-51 or resid 140-152 or resid 168-179 or resid 212-221""]",T4 GPU,110.81358313560486 Seconds,110.81358313560486 Seconds (inferred),2c026d54-d631-4daa-8c21-9f5bcdf42482,chroma_tev_mono_2c026d54-d631-4daa-8c21-9f5bcdf42482.cif
f5f9e7e9-48be-403b-9931-61c4171eb634,1,2024-06-21 00:15:45.422551,chroma,all_atom_pdb_generation,"tev (monomer) scaffolding [selection_string = ""resid 28-33 or resid 47-51 or resid 140-152 or resid 168-179 or resid 212-221""]",T4 GPU,111.2706367969513 Seconds,111.2706367969513 Seconds (inferred),d0f2f82a-b2c6-4cd6-83ee-167660264b9e,chroma_tev_mono_d0f2f82a-b2c6-4cd6-83ee-167660264b9e.cif
f5f9e7e9-48be-403b-9931-61c4171eb634,1,2024-06-21 00:15:45.422551,chroma,all_atom_pdb_generation,"tev (monomer) scaffolding [selection_string = ""resid 28-33 or resid 47-51 or resid 140-152 or resid 168-179 or resid 212-221""]",T4 GPU,111.80435919761658 Seconds,111.80435919761658 Seconds (inferred),1665ed30-e448-4981-8e08-34826eec501e,chroma_tev_mono_1665ed30-e448-4981-8e08-34826eec501e.cif
f5f9e7e9-48be-403b-9931-61c4171eb634,1,2024-06-21 00:15:45.422551,chroma,all_atom_pdb_generation,"tev (monomer) scaffolding [selection_string = ""resid 28-33 or resid 47-51 or resid 140-152 or resid 168-179 or resid 212-221""]",T4 GPU,113.17973160743713 Seconds,113.17973160743713 Seconds (inferred),81aadd2b-8d6f-4379-ad4b-d6bf5adff6cf,chroma_tev_mono_81aadd2b-8d6f-4379-ad4b-d6bf5adff6cf.cif
f5f9e7e9-48be-403b-9931-61c4171eb634,1,2024-06-21 00:15:45.422551,chroma,all_atom_pdb_generation,"tev (monomer) scaffolding [selection_string = ""resid 28-33 or resid 47-51 or resid 140-152 or resid 168-179 or resid 212-221""]",T4 GPU,112.03881883621216 Seconds,112.03881883621216 Seconds (inferred),772e8d0c-76d8-4bc0-8335-ef1d82ad5ff5,chroma_tev_mono_772e8d0c-76d8-4bc0-8335-ef1d82ad5ff5.cif
f5f9e7e9-48be-403b-9931-61c4171eb634,1,2024-06-21 00:15:45.422551,chroma,all_atom_pdb_generation,"tev (monomer) scaffolding [selection_string = ""resid 28-33 or resid 47-51 or resid 140-152 or resid 168-179 or resid 212-221""]",T4 GPU,110.64054465293884 Seconds,110.64054465293884 Seconds (inferred),06d9a55c-596f-484e-ba59-3768484da2a5,chroma_tev_mono_06d9a55c-596f-484e-ba59-3768484da2a5.cif
f5f9e7e9-48be-403b-9931-61c4171eb634,1,2024-06-21 00:15:45.422551,chroma,all_atom_pdb_generation,"tev (monomer) scaffolding [selection_string = ""resid 28-33 or resid 47-51 or resid 140-152 or resid 168-179 or resid 212-221""]",T4 GPU,111.92324376106262 Seconds,111.92324376106262 Seconds (inferred),69e2c537-9ddf-4f5b-8095-9583c1593ecc,chroma_tev_mono_69e2c537-9ddf-4f5b-8095-9583c1593ecc.cif
