TEVdesign,BF_Filename,GFP_Filename,Plate,Replicate,BF,GFP
TEV13,Plate2-replicate1-Snap-11603,Plate2-replicate1-Snap-11604,Plate2,replicate1,1768.76064,4.34739586
TEV57,Plate2-replicate1-Snap-11606,Plate2-replicate1-Snap-11607,Plate2,replicate1,2048.19361,7.96030607
TEV23,Plate3-replicate1-Snap-11609,Plate3-replicate1-Snap-11610,Plate3,replicate1,2202.21142,21.5882131
TEV6,Plate3-replicate1-Snap-11612,Plate3-replicate1-Snap-11613,Plate3,replicate1,2124.1385,22.3274599
TEV93,Plate3-replicate1-Snap-11615,Plate3-replicate1-Snap-11616,Plate3,replicate1,2033.00272,29.4715067
TEV85,Plate3-replicate1-Snap-11618,Plate3-replicate1-Snap-11619,Plate3,replicate1,1984.493,17.6805749
TEV69,Plate3-replicate1-Snap-11621,Plate3-replicate1-Snap-11622,Plate3,replicate1,1700.55521,14.0453496
TEV80,Plate3-replicate1-Snap-11624,Plate3-replicate1-Snap-11625,Plate3,replicate1,1670.11588,7.75530219
PC,Plate3-replicate1-Snap-11627,Plate3-replicate1-Snap-11628,Plate3,replicate1,2207.89348,233.822
TEV83,Plate3-replicate1-Snap-11630,Plate3-replicate1-Snap-11631,Plate3,replicate1,2269.94905,214.730943
TEV71,Plate3-replicate1-Snap-11633,Plate3-replicate1-Snap-11634,Plate3,replicate1,2000.60455,9.202801
TEV10,Plate3-replicate1-Snap-11636,Plate3-replicate1-Snap-11637,Plate3,replicate1,1721.92097,5.1261346
TEV103,Plate3-replicate1-Snap-11640,Plate3-replicate1-Snap-11641,Plate3,replicate1,1732.7053,15.1757366
TEV53,Plate3-replicate1-Snap-11643,Plate3-replicate1-Snap-11644,Plate3,replicate1,1974.55983,27.0603281
TEV20,Plate3-replicate1-Snap-11646,Plate3-replicate1-Snap-11647,Plate3,replicate1,2086.83234,36.0686456
TEV60,Plate3-replicate1-Snap-11649,Plate3-replicate1-Snap-11650,Plate3,replicate1,1952.30429,25.9268817
TEV8,Plate3-replicate1-Snap-11652,Plate3-replicate1-Snap-11653,Plate3,replicate1,1767.25927,10.1929209
NC,Plate3-replicate1-Snap-11655,Plate3-replicate1-Snap-11656,Plate3,replicate1,1913.23713,23.6302051
TEV18,Plate3-replicate1-Snap-11658,Plate3-replicate1-Snap-11659,Plate3,replicate1,1758.5257,11.7359112
TEV2,Plate3-replicate1-Snap-11661,Plate3-replicate1-Snap-11662,Plate3,replicate1,1892.7841,10.9405006
TEV89,Plate3-replicate1-Snap-11664,Plate3-replicate1-Snap-11665,Plate3,replicate1,1885.63941,18.3531058
TEV5,Plate3-replicate1-Snap-11667,Plate3-replicate1-Snap-11668,Plate3,replicate1,2080.62429,26.8737025
TEV16,Plate3-replicate1-Snap-11673,Plate3-replicate1-Snap-11674,Plate3,replicate1,1941.91702,18.7614647
TEV101,Plate3-replicate1-Snap-11676,Plate3-replicate1-Snap-11677,Plate3,replicate1,1823.38689,33.3095407
TEV14,Plate3-replicate1-Snap-11679,Plate3-replicate1-Snap-11681,Plate3,replicate1,2046.21245,52.4443115
TEV34,Plate4-replicate1-Snap-11683,Plate4-replicate1-Snap-11684,Plate4,replicate1,1710.36364,13.2885344
TEV91,Plate4-replicate1-Snap-11686,Plate4-replicate1-Snap-11687,Plate4,replicate1,2046.51474,12.8654517
TEV51,Plate4-replicate1-Snap-11689,Plate4-replicate1-Snap-11690,Plate4,replicate1,1808.42855,3.91752438
TEV39,Plate4-replicate1-Snap-11692,Plate4-replicate1-Snap-11693,Plate4,replicate1,1596.09282,3.97950615
TEV4,Plate4-replicate1-Snap-11695,Plate4-replicate1-Snap-11696,Plate4,replicate1,1520.1478,4.61595165
TEV94,Plate4-replicate1-Snap-11698,Plate4-replicate1-Snap-11699,Plate4,replicate1,1944.28399,8.74614665
TEV65,Plate4-replicate1-Snap-11701,Plate4-replicate1-Snap-11702,Plate4,replicate1,2001.54554,23.0341745
TEV68,Plate4-replicate1-Snap-11704,Plate4-replicate1-Snap-11705,Plate4,replicate1,1916.45175,5.33156905
PC,Plate4-replicate1-Snap-11707,Plate4-replicate1-Snap-11708,Plate4,replicate1,1706.26571,67.1780144
TEV46,Plate4-replicate1-Snap-11710,Plate4-replicate1-Snap-11711,Plate4,replicate1,1797.66562,9.39363711
TEV88,Plate4-replicate1-Snap-11713,Plate4-replicate1-Snap-11714,Plate4,replicate1,1903.10275,14.601211
TEV40,Plate4-replicate1-Snap-11721,Plate4-replicate1-Snap-11722,Plate4,replicate1,1670.10474,15.5852921
TEV21,Plate4-replicate1-Snap-11724,Plate4-replicate1-Snap-11725,Plate4,replicate1,1938.18305,27.1506432
TEV42,Plate4-replicate1-Snap-11727,Plate4-replicate1-Snap-11729,Plate4,replicate1,2040.93847,26.4855346
TEV19,Plate4-replicate1-Snap-11731,Plate4-replicate1-Snap-11732,Plate4,replicate1,2108.97556,9.81330513
TEV12,Plate4-replicate1-Snap-11734,Plate4-replicate1-Snap-11735,Plate4,replicate1,1780.04406,3.69610194
