TEVdesign,BF_Filename,GFP_Filename,Plate,Replicate,BF,GFP
TEV81,Plate2-replicate3-Snap-879,Plate2-replicate3-Snap-880,Plate2,replicate3,3782.16731,29.1905944
TEV104,Plate2-replicate3-Snap-882,Plate2-replicate3-Snap-883,Plate2,replicate3,3767.91166,46.7728931
TEV98,Plate2-replicate3-Snap-885,Plate2-replicate3-Snap-886,Plate2,replicate3,4069.23671,73.1546011
TEV27,Plate2-replicate3-Snap-888,Plate2-replicate3-Snap-889,Plate2,replicate3,3954.79296,53.2995171
TEV92,Plate2-replicate3-Snap-891,Plate2-replicate3-Snap-892,Plate2,replicate3,4085.4714,49.7630021
TEV105,Plate2-replicate3-Snap-894,Plate2-replicate3-Snap-895,Plate2,replicate3,3767.18461,39.5601027
TEV26,Plate2-replicate3-Snap-897,Plate2-replicate3-Snap-898,Plate2,replicate3,3649.59928,33.6470234
TEV13,Plate2-replicate3-Snap-900,Plate2-replicate3-Snap-901,Plate2,replicate3,4008.31457,122.514679
TEV57,Plate2-replicate3-Snap-903,Plate2-replicate3-Snap-904,Plate2,replicate3,3936.0315,34.0743009
TEV23,Plate3-replicate3-Snap-906,Plate3-replicate3-Snap-907,Plate3,replicate3,4068.19961,32.8837514
TEV6,Plate3-replicate3-Snap-909,Plate3-replicate3-Snap-910,Plate3,replicate3,4019.7646,31.3980613
TEV93,Plate3-replicate3-Snap-912,Plate3-replicate3-Snap-913,Plate3,replicate3,3905.76472,40.4223497
TEV85,Plate3-replicate3-Snap-915,Plate3-replicate3-Snap-916,Plate3,replicate3,3810.21573,41.7904661
TEV69,Plate3-replicate3-Snap-918,Plate3-replicate3-Snap-919,Plate3,replicate3,4049.68732,46.3490652
TEV80,Plate3-replicate3-Snap-921,Plate3-replicate3-Snap-922,Plate3,replicate3,4109.23749,44.3692398
PC,Plate3-replicate3-Snap-924,Plate3-replicate3-Snap-925,Plate3,replicate3,4036.87604,335.811834
TEV83,Plate3-replicate3-Snap-927,Plate3-replicate3-Snap-928,Plate3,replicate3,3561.64695,37.9329359
TEV71,Plate3-replicate3-Snap-930,Plate3-replicate3-Snap-931,Plate3,replicate3,4081.10066,39.5886202
TEV10,Plate3-replicate3-Snap-933,Plate3-replicate3-Snap-934,Plate3,replicate3,4045.98298,48.9571509
TEV103,Plate3-replicate3-Snap-936,Plate3-replicate3-Snap-937,Plate3,replicate3,4088.5889,56.5766929
TEV53,Plate3-replicate3-Snap-939,Plate3-replicate3-Snap-940,Plate3,replicate3,4078.23478,50.8113461
TEV20,Plate3-replicate3-Snap-944,Plate3-replicate3-Snap-946,Plate3,replicate3,3795.22909,43.2089916
TEV60,Plate3-replicate3-Snap-948,Plate3-replicate3-Snap-949,Plate3,replicate3,3863.70257,54.9240804
TEV8,Plate3-replicate3-Snap-951,Plate3-replicate3-Snap-952,Plate3,replicate3,3913.39692,63.4756336
NC,Plate3-replicate3-Snap-954,Plate3-replicate3-Snap-955,Plate3,replicate3,4301.71032,55.4776173
TEV18,Plate3-replicate3-Snap-957,Plate3-replicate3-Snap-958,Plate3,replicate3,3923.86855,72.21803
TEV2,Plate3-replicate3-Snap-960,Plate3-replicate3-Snap-962,Plate3,replicate3,3982.63979,51.0328544
TEV89,Plate3-replicate3-Snap-964,Plate3-replicate3-Snap-965,Plate3,replicate3,3742.04268,22.1266669
TEV5,Plate3-replicate3-Snap-967,Plate3-replicate3-Snap-968,Plate3,replicate3,4082.90307,59.3316492
TEV16,Plate3-replicate3-Snap-970,Plate3-replicate3-Snap-971,Plate3,replicate3,3842.83812,43.1207578
TEV101,Plate3-replicate3-Snap-973,Plate3-replicate3-Snap-974,Plate3,replicate3,4168.41488,55.7700243
TEV14,Plate3-replicate3-Snap-976,Plate3-replicate3-Snap-977,Plate3,replicate3,4121.35531,64.7389392
TEV34,Plate4-replicate3-Snap-979,Plate4-replicate3-Snap-980,Plate4,replicate3,4077.9794,34.4803895
TEV91,Plate4-replicate3-Snap-982,Plate4-replicate3-Snap-983,Plate4,replicate3,3993.69293,34.5933269
TEV51,Plate4-replicate3-Snap-985,Plate4-replicate3-Snap-986,Plate4,replicate3,4014.55592,41.1203699
TEV39,Plate4-replicate3-Snap-988,Plate4-replicate3-Snap-989,Plate4,replicate3,4185.27694,49.9138251
TEV4,Plate4-replicate3-Snap-991,Plate4-replicate3-Snap-992,Plate4,replicate3,4077.12795,54.7726988
TEV94,Plate4-replicate3-Snap-994,Plate4-replicate3-Snap-995,Plate4,replicate3,4011.58067,45.4088636
TEV65,Plate4-replicate3-Snap-997,Plate4-replicate3-Snap-998,Plate4,replicate3,4184.92076,34.7316904
TEV68,Plate4-replicate3-Snap-1000,Plate4-replicate3-Snap-1001,Plate4,replicate3,4060.12576,72.8305566
PC,Plate4-replicate3-Snap-1003,Plate4-replicate3-Snap-1004,Plate4,replicate3,4125.99774,585.199483
TEV46,Plate4-replicate3-Snap-1006,Plate4-replicate3-Snap-1008,Plate4,replicate3,4018.30389,20.8625917
TEV88,Plate4-replicate3-Snap-1010,Plate4-replicate3-Snap-1011,Plate4,replicate3,3973.55161,114.347346
TEV40,Plate4-replicate3-Snap-1013,Plate4-replicate3-Snap-1015,Plate4,replicate3,4153.96812,29.9583206
TEV21,Plate4-replicate3-Snap-1017,Plate4-replicate3-Snap-1018,Plate4,replicate3,3869.3093,64.879467
TEV42,Plate4-replicate3-Snap-1020,Plate4-replicate3-Snap-1021,Plate4,replicate3,4017.54259,55.1803792
TEV19,Plate4-replicate3-Snap-1023,Plate4-replicate3-Snap-1024,Plate4,replicate3,3944.76418,69.4015059
TEV12,Plate4-replicate3-Snap-1026,Plate4-replicate3-Snap-1027,Plate4,replicate3,4002.14425,78.3803355
TEV76,Plate4-replicate3-Snap-1029,Plate4-replicate3-Snap-1030,Plate4,replicate3,4039.66498,40.0140392
TEV22,Plate4-replicate3-Snap-1032,Plate4-replicate3-Snap-1033,Plate4,replicate3,4164.09677,78.2925236
TEV50,Plate4-replicate3-Snap-1035,Plate4-replicate3-Snap-1036,Plate4,replicate3,4153.69354,74.4508584
NC,Plate4-replicate3-Snap-1038,Plate4-replicate3-Snap-1039,Plate4,replicate3,4199.42095,31.403352
TEV75,Plate4-replicate3-Snap-1041,Plate4-replicate3-Snap-1042,Plate4,replicate3,4070.62132,58.7430507
TEV110,Plate4-replicate3-Snap-1044,Plate4-replicate3-Snap-1045,Plate4,replicate3,4143.55163,82.3280155
TEV63,Plate4-replicate3-Snap-1047,Plate4-replicate3-Snap-1048,Plate4,replicate3,4056.22473,92.3926176
TEV47,Plate1-replicate4-Snap-12309,Plate1-replicate4-Snap-12310,Plate1,replicate4,1008.94015,10.4169387
TEV64,Plate1-replicate4-Snap-12312,Plate1-replicate4-Snap-12313,Plate1,replicate4,899.828768,3.32753685
TEV87,Plate1-replicate4-Snap-12315,Plate1-replicate4-Snap-12316,Plate1,replicate4,928.48081,13.080977
TEV102,Plate1-replicate4-Snap-12318,Plate1-replicate4-Snap-12319,Plate1,replicate4,980.117038,5.81665531
TEV100,Plate1-replicate4-Snap-12321,Plate1-replicate4-Snap-12322,Plate1,replicate4,992.533129,15.1550441
TEV95,Plate1-replicate4-Snap-12325,Plate1-replicate4-Snap-12326,Plate1,replicate4,1169.70115,3.09594531
TEV41,Plate1-replicate4-Snap-12328,Plate1-replicate4-Snap-12329,Plate1,replicate4,1232.61012,16.0045928
TEV99,Plate1-replicate4-Snap-12331,Plate1-replicate4-Snap-12332,Plate1,replicate4,1237.82761,17.6261321
PC,Plate1-replicate4-Snap-12334,Plate1-replicate4-Snap-12335,Plate1,replicate4,1090.82905,68.422674
TEV33,Plate1-replicate4-Snap-12337,Plate1-replicate4-Snap-12338,Plate1,replicate4,975.183916,34.766683
TEV44,Plate1-replicate4-Snap-12340,Plate1-replicate4-Snap-12341,Plate1,replicate4,1186.08005,6.13051936
TEV32,Plate1-replicate4-Snap-12343,Plate1-replicate4-Snap-12344,Plate1,replicate4,965.300308,18.4674301
TEV108,Plate1-replicate4-Snap-12346,Plate1-replicate4-Snap-12347,Plate1,replicate4,1078.50113,8.96263274
TEV55,Plate1-replicate4-Snap-12349,Plate1-replicate4-Snap-12350,Plate1,replicate4,1305.95779,30.5452063
TEV9,Plate1-replicate4-Snap-12352,Plate1-replicate4-Snap-12353,Plate1,replicate4,1159.23201,29.6560716
TEV74,Plate1-replicate4-Snap-12355,Plate1-replicate4-Snap-12356,Plate1,replicate4,1203.76205,32.2138503
TEV49,Plate1-replicate4-Snap-12358,Plate1-replicate4-Snap-12359,Plate1,replicate4,1117.71946,8.22333359
NC,Plate1-replicate4-Snap-12361,Plate1-replicate4-Snap-12362,Plate1,replicate4,1368.2365,25.3830278
TEV84,Plate1-replicate4-Snap-12364,Plate1-replicate4-Snap-12365,Plate1,replicate4,1045.16888,16.9590171
TEV82,Plate1-replicate4-Snap-12367,Plate1-replicate4-Snap-12368,Plate1,replicate4,1184.16647,13.0890878
TEV97,Plate1-replicate4-Snap-12370,Plate1-replicate4-Snap-12371,Plate1,replicate4,1057.61462,10.7858102
TEV54,Plate1-replicate4-Snap-12373,Plate1-replicate4-Snap-12374,Plate1,replicate4,1103.38292,24.2003741
TEV3,Plate1-replicate4-Snap-12376,Plate1-replicate4-Snap-12377,Plate1,replicate4,1229.64387,11.1178847
TEV96,Plate1-replicate4-Snap-12378,Plate1-replicate4-Snap-12379,Plate1,replicate4,1058.67642,7.62466772
TEV38,Plate2-replicate4-Snap-1073,Plate2-replicate4-Snap-1074,Plate2,replicate4,935.259345,14.839685
NC,Plate2-replicate4-Snap-1076,Plate2-replicate4-Snap-1077,Plate2,replicate4,1177.2984,21.7648666
TEV81,Plate2-replicate4-Snap-1079,Plate2-replicate4-Snap-1080,Plate2,replicate4,1070.87466,14.845797
TEV104,Plate2-replicate4-Snap-1082,Plate2-replicate4-Snap-1083,Plate2,replicate4,890.431639,29.3983655
TEV98,Plate2-replicate4-Snap-1085,Plate2-replicate4-Snap-1086,Plate2,replicate4,1053.84394,29.1890911
TEV27,Plate2-replicate4-Snap-1088,Plate2-replicate4-Snap-1089,Plate2,replicate4,977.746795,6.60028122
TEV92,Plate2-replicate4-Snap-1091,Plate2-replicate4-Snap-1092,Plate2,replicate4,1016.2336,13.599661
TEV105,Plate2-replicate4-Snap-1094,Plate2-replicate4-Snap-1095,Plate2,replicate4,1042.0539,13.7032333
TEV26,Plate2-replicate4-Snap-1097,Plate2-replicate4-Snap-1098,Plate2,replicate4,1161.5195,35.4134788
TEV13,Plate2-replicate4-Snap-1100,Plate2-replicate4-Snap-1101,Plate2,replicate4,1115.1096,24.3136671
TEV57,Plate2-replicate4-Snap-1103,Plate2-replicate4-Snap-1104,Plate2,replicate4,1050.50577,15.9704253
TEV11,Plate2-replicate4-Snap-12383,Plate2-replicate4-Snap-12384,Plate2,replicate4,1137.2919,32.8422066
TEV15,Plate2-replicate4-Snap-12386,Plate2-replicate4-Snap-12387,Plate2,replicate4,1040.13433,10.66315
TEV58,Plate2-replicate4-Snap-12389,Plate2-replicate4-Snap-12390,Plate2,replicate4,1066.70216,10.3377058
TEV7,Plate2-replicate4-Snap-12392,Plate2-replicate4-Snap-12393,Plate2,replicate4,1071.60255,8.11604692
TEV29,Plate2-replicate4-Snap-12396,Plate2-replicate4-Snap-12397,Plate2,replicate4,970.062456,27.549104
TEV90,Plate2-replicate4-Snap-12399,Plate2-replicate4-Snap-12400,Plate2,replicate4,1031.35137,6.93068566
TEV109,Plate2-replicate4-Snap-12402,Plate2-replicate4-Snap-12403,Plate2,replicate4,1062.97748,25.0847688
TEV35,Plate2-replicate4-Snap-12405,Plate2-replicate4-Snap-12406,Plate2,replicate4,1169.68386,9.29515145
TEV67,Plate2-replicate4-Snap-12408,Plate2-replicate4-Snap-12409,Plate2,replicate4,1124.68332,5.75505122
TEV25,Plate2-replicate4-Snap-12411,Plate2-replicate4-Snap-12412,Plate2,replicate4,1138.31673,4.59884374
PC,Plate2-replicate4-Snap-12414,Plate2-replicate4-Snap-12415,Plate2,replicate4,1187.82587,51.7048825
TEV73,Plate2-replicate4-Snap-12417,Plate2-replicate4-Snap-12418,Plate2,replicate4,1190.76163,8.90541256
TEV23,Plate3-replicate4-Snap-1106,Plate3-replicate4-Snap-1107,Plate3,replicate4,1242.63698,35.3325771
TEV6,Plate3-replicate4-Snap-1109,Plate3-replicate4-Snap-1111,Plate3,replicate4,1197.466,29.6992726
TEV93,Plate3-replicate4-Snap-1113,Plate3-replicate4-Snap-1114,Plate3,replicate4,1168.31062,18.8358791
TEV85,Plate3-replicate4-Snap-1116,Plate3-replicate4-Snap-1117,Plate3,replicate4,1103.30466,13.7603113
TEV69,Plate3-replicate4-Snap-1119,Plate3-replicate4-Snap-1120,Plate3,replicate4,1174.7724,56.8221869
TEV80,Plate3-replicate4-Snap-1122,Plate3-replicate4-Snap-1123,Plate3,replicate4,1201.29928,33.0605326
PC,Plate3-replicate4-Snap-1125,Plate3-replicate4-Snap-1126,Plate3,replicate4,1273.26889,84.6264787
TEV83,Plate3-replicate4-Snap-1128,Plate3-replicate4-Snap-1129,Plate3,replicate4,1339.85882,17.9006354
TEV71,Plate3-replicate4-Snap-1131,Plate3-replicate4-Snap-1132,Plate3,replicate4,1447.9445,58.5438019
TEV10,Plate3-replicate4-Snap-1134,Plate3-replicate4-Snap-1135,Plate3,replicate4,1229.72982,27.3568436
TEV103,Plate3-replicate4-Snap-1137,Plate3-replicate4-Snap-1138,Plate3,replicate4,1063.57606,10.7593447
TEV53,Plate3-replicate4-Snap-1141,Plate3-replicate4-Snap-1142,Plate3,replicate4,1205.9155,13.9076688
TEV20,Plate3-replicate4-Snap-1144,Plate3-replicate4-Snap-1145,Plate3,replicate4,1511.56109,52.8602744
TEV60,Plate3-replicate4-Snap-1147,Plate3-replicate4-Snap-1148,Plate3,replicate4,1292.63614,23.2870089
TEV8,Plate3-replicate4-Snap-1150,Plate3-replicate4-Snap-1151,Plate3,replicate4,1411.84915,39.6374274
NC,Plate3-replicate4-Snap-1153,Plate3-replicate4-Snap-1154,Plate3,replicate4,1434.81065,47.7946511
TEV18,Plate3-replicate4-Snap-1156,Plate3-replicate4-Snap-1157,Plate3,replicate4,1223.15594,32.37673
TEV2,Plate3-replicate4-Snap-1159,Plate3-replicate4-Snap-1160,Plate3,replicate4,1167.68432,23.8505851
TEV89,Plate3-replicate4-Snap-1162,Plate3-replicate4-Snap-1163,Plate3,replicate4,1518.09876,63.5575125
TEV5,Plate3-replicate4-Snap-1165,Plate3-replicate4-Snap-1166,Plate3,replicate4,1240.7275,14.475157
TEV16,Plate3-replicate4-Snap-1168,Plate3-replicate4-Snap-1169,Plate3,replicate4,1593.20335,64.9045278
TEV101,Plate3-replicate4-Snap-1171,Plate3-replicate4-Snap-1172,Plate3,replicate4,1141.77232,12.0241185
TEV14,Plate3-replicate4-Snap-1174,Plate3-replicate4-Snap-1175,Plate3,replicate4,1146.50936,34.1111355
TEV34,Plate4-replicate4-Snap-1106,Plate4-replicate4-Snap-1178,Plate4,replicate4,1170.34149,48.8706674
TEV91,Plate4-replicate4-Snap-1180,Plate4-replicate4-Snap-1181,Plate4,replicate4,1391.62291,46.6165418
TEV51,Plate4-replicate4-Snap-1183,Plate4-replicate4-Snap-1184,Plate4,replicate4,1345.45173,46.8214207
TEV39,Plate4-replicate4-Snap-1186,Plate4-replicate4-Snap-1187,Plate4,replicate4,1340.7645,37.4268645
TEV4,Plate4-replicate4-Snap-1189,Plate4-replicate4-Snap-1190,Plate4,replicate4,1261.3246,38.1024165
TEV94,Plate4-replicate4-Snap-1192,Plate4-replicate4-Snap-1193,Plate4,replicate4,1160.4299,51.8688162
TEV65,Plate4-replicate4-Snap-1195,Plate4-replicate4-Snap-1196,Plate4,replicate4,1298.09774,22.4234402
TEV68,Plate4-replicate4-Snap-1199,Plate4-replicate4-Snap-1200,Plate4,replicate4,1145.68302,28.7039842
PC,Plate4-replicate4-Snap-1202,Plate4-replicate4-Snap-1203,Plate4,replicate4,1090.96504,121.171304
TEV46,Plate4-replicate4-Snap-1205,Plate4-replicate4-Snap-1206,Plate4,replicate4,1008.63982,13.5419504
TEV88,Plate4-replicate4-Snap-1208,Plate4-replicate4-Snap-1209,Plate4,replicate4,1069.77004,35.0169057
TEV40,Plate4-replicate4-Snap-1211,Plate4-replicate4-Snap-1212,Plate4,replicate4,1186.19385,42.6111722
TEV21,Plate4-replicate4-Snap-1214,Plate4-replicate4-Snap-1215,Plate4,replicate4,1136.14343,15.8959792
TEV42,Plate4-replicate4-Snap-1217,Plate4-replicate4-Snap-1218,Plate4,replicate4,1097.28345,27.98165
TEV19,Plate4-replicate4-Snap-1220,Plate4-replicate4-Snap-1221,Plate4,replicate4,1367.92631,40.9860794
TEV12,Plate4-replicate4-Snap-1223,Plate4-replicate4-Snap-1224,Plate4,replicate4,1297.83972,46.9844056
TEV76,Plate4-replicate4-Snap-1226,Plate4-replicate4-Snap-1227,Plate4,replicate4,1157.85661,39.7489994
TEV22,Plate4-replicate4-Snap-1229,Plate4-replicate4-Snap-1230,Plate4,replicate4,1536.36369,58.8120802
TEV50,Plate4-replicate4-Snap-1233,Plate4-replicate4-Snap-1234,Plate4,replicate4,1314.88789,11.5034611
NC,Plate4-replicate4-Snap-1236,Plate4-replicate4-Snap-1237,Plate4,replicate4,1408.57673,65.9082059
TEV75,Plate4-replicate4-Snap-1239,Plate4-replicate4-Snap-1240,Plate4,replicate4,1151.5113,35.0615882
TEV110,Plate4-replicate4-Snap-1242,Plate4-replicate4-Snap-1243,Plate4,replicate4,1045.87018,11.9345819
TEV63,Plate4-replicate4-Snap-1245,Plate4-replicate4-Snap-1246,Plate4,replicate4,1222.38784,16.8523971
